P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,0.483,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.941,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.834,6.2
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.962,5.6
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.976,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.725,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.766,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.365,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,3.516,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,2.983,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.698,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.153,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.531,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.585,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.175,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.768,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,2.003,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.938,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.347,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.706,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.959,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.444,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.0,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.454,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.224,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.616,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.677,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,2.386,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.793,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.948,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,1.837,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,2.172,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,1.628,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.105,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.506,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,2.58,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,5.389,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,2.858,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.77,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,2.434,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.157,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.309,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.963,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.395,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.377,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.483,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.961,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.952,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,1.29,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.439,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,1.823,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,15.8,129.0,2.179,35.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.391,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.344,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.778,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.619,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.638,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.863,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.671,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.504,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.511,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.043,6.2
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.147,5.6
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.764,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,17.2,141.0,2.349,29.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.752,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,4.964,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,2.305,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,1.396,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.132,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.174,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.888,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.827,6.2
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,2.121,17.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,1.365,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.98,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,2.157,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,3.041,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.656,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,3.712,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.999,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.086,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.224,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.334,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.864,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.326,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.43,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.286,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.383,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,1.199,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,1.584,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.809,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,1.681,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,1.079,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.086,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.601,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,2.069,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.51,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,2.161,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,17.2,141.0,1.825,29.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.303,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.325,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.511,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,2.151,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.951,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.507,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.986,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.061,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.644,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,15.8,129.0,1.441,35.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.236,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,1.71,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.526,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.202,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.114,6.2
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.979,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.854,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.735,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.617,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.819,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.658,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.671,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.823,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,2.563,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,2.011,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,1.786,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.118,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.768,12.0
