P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.313,45.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.962,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.11,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.408,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.092,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.787,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.502,20.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.428,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.825,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,4.31,35.3,1.014,57.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,5.74,47.0,1.068,60.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,5.74,47.0,1.412,33.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,1.44,11.8,1.343,89.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,1.44,11.8,1.309,88.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,2.87,23.5,1.278,80.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.794,40.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.643,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.334,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.142,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.351,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.317,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.193,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.918,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,0.541,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.043,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.141,10.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.879,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,0.912,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.841,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.845,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.977,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,0.721,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.737,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,0.769,0.0
