P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,8.61,70.6,1.384,14.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,7.18,58.8,1.355,44.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,5.74,47.0,1.65,50.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,10.0,82.3,1.608,30.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,2.87,23.5,1.66,50.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,7.18,58.8,1.926,58.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,10.0,82.3,1.598,22.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,8.61,70.6,1.463,33.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,10.0,82.3,1.689,0.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,10.0,82.3,2.969,30.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,10.0,82.3,2.364,0.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,12.9,106.0,2.439,10.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,8.61,70.6,2.34,14.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,11.5,94.1,2.847,11.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,11.5,94.1,2.259,11.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,11.5,94.1,1.77,11.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,10.0,82.3,1.304,12.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,12.9,106.0,1.336,0.0
