P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,10.0,82.3,1.174,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,11.5,94.1,1.007,20.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,8.61,70.6,0.896,14.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,11.5,94.1,0.838,20.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,8.61,70.6,1.861,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,11.5,94.1,1.341,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,7.18,58.8,2.276,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,11.5,94.1,1.514,33.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,11.5,94.1,1.055,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,11.5,94.1,0.768,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,8.61,70.6,0.641,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,11.5,94.1,0.809,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,10.0,82.3,1.102,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,12.9,106.0,0.976,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,8.61,70.6,1.191,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,10.0,82.3,1.546,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,11.5,94.1,1.622,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,11.5,94.1,2.306,11.0
