P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.651,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.918,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.238,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.059,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.006,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.922,33.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.022,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.854,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.699,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.041,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.823,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.898,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.95,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.285,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.069,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.796,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.873,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.805,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,1.03,38.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.288,10.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.088,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,0.837,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.044,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.674,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.546,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.324,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.149,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.27,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.191,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.859,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,1.089,38.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.979,27.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.74,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.646,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.526,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.715,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.07,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.596,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.875,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.267,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.24,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.265,33.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.459,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.322,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,2.034,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.709,50.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.579,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.251,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.09,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.955,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.566,14.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.624,30.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.175,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.244,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.326,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.791,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,4.31,35.3,1.762,62.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,0.0,0.0,1.762,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,5.74,47.0,1.762,78.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.255,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,2.87,23.5,1.182,50.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,0.974,62.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,0.888,17.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.699,50.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,5.74,47.0,0.623,43.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.427,20.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,5.74,47.0,0.403,50.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,4.31,35.3,0.445,62.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,4.31,35.3,0.495,62.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,5.74,47.0,0.466,60.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.43,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.644,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.259,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,0.842,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,0.668,38.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.75,33.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.715,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.651,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.337,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.563,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.585,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.285,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.024,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.445,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.09,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.028,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.826,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.72,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.707,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.528,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.607,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.48,25.0
