P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,20,20,5220,80,30,5.74,47.0,0.615,43.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,1.178,50.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,1.269,29.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,1.851,50.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,5.74,47.0,2.415,50.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,2.688,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,2.37,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,2.217,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.758,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,1.417,38.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.793,22.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,1.903,44.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.813,25.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,2.535,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,2.751,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,2.397,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,2.151,25.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,2.298,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.696,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.67,25.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.357,33.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.205,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,1.018,38.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.254,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,0.964,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.221,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.432,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.327,40.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,1.483,17.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.878,36.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.661,14.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,2.008,17.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,2.144,50.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,5.74,47.0,1.755,56.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.879,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,2.142,44.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,2.377,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.847,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.415,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.898,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.316,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.949,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.976,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.01,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.989,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.661,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.421,25.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.676,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.534,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.08,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.015,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.044,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,0.776,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,0.856,17.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.022,27.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.773,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.924,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.734,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.893,25.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.384,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.024,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.201,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.095,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.925,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.622,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.543,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.416,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.078,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.064,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.931,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,2.255,38.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,3.181,40.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,2.479,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,5.74,47.0,2.007,56.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,4.31,35.3,2.005,50.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,1.848,55.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,2.962,25.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,2.856,33.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,2.83,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,2.753,38.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,2.461,33.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,2.043,33.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.489,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.025,20.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,2.64,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,2.824,22.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,2.869,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,2.628,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,2.364,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,2.063,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,2.297,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.83,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.844,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,2.058,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.557,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,2.051,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,2.069,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.425,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.199,25.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.299,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.06,25.0
