P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,30,11.5,94.1,0.075,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,0.178,33.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.569,0.0
20,5220,80,0,20,5220,80,30,8.61,70.6,0.795,0.0
20,5220,80,0,20,5220,80,30,5.74,47.0,0.681,60.0
20,5220,80,0,20,5220,80,30,4.31,35.3,0.564,70.0
20,5220,80,0,20,5220,80,30,0.0,0.0,0.564,100.0
20,5220,80,0,20,5220,80,30,4.31,35.3,0.89,77.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.907,42.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.288,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.99,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.068,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.022,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.877,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.428,0.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.7,29.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.077,30.0
20,5220,80,0,20,5220,80,30,7.18,58.8,2.33,44.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.506,12.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.387,22.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.745,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.604,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.951,12.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.385,22.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.413,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.075,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.722,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.691,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.643,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.943,22.0
20,5220,80,0,20,5220,80,30,5.74,47.0,1.296,43.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.802,44.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.757,44.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.321,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.561,12.0
20,5220,80,0,20,5220,80,30,5.74,47.0,1.531,33.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.585,88.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.45,73.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.554,75.0
20,5220,80,0,20,5220,80,30,0.0,0.0,1.554,100.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.529,87.0
20,5220,80,0,20,5220,80,30,0.0,0.0,1.529,100.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.444,95.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.37,50.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.292,73.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.201,77.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.129,80.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.205,67.0
20,5220,80,0,20,5220,80,30,5.74,47.0,1.063,56.0
20,5220,80,0,20,5220,80,30,4.31,35.3,0.907,73.0
20,5220,80,0,20,5220,80,30,1.44,11.8,0.852,0.0
20,5220,80,0,20,5220,80,30,5.74,47.0,0.911,73.0
20,5220,80,0,20,5220,80,30,1.44,11.8,0.994,88.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.126,71.0
20,5220,80,0,20,5220,80,30,5.74,47.0,1.241,64.0
20,5220,80,0,20,5220,80,30,0.0,0.0,1.241,100.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.397,85.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.23,71.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.376,78.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.296,86.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.145,80.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.343,79.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.371,57.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.341,75.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.186,75.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.338,55.0
20,5220,80,0,20,5220,80,30,1.44,11.8,1.258,50.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.181,40.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.197,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.926,18.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.795,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.97,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.777,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.858,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.053,12.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.456,33.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.761,25.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.576,11.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.99,29.0
20,5220,80,0,20,5220,80,30,5.74,47.0,2.179,50.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.996,78.0
20,5220,80,0,20,5220,80,30,5.74,47.0,1.75,56.0
20,5220,80,0,20,5220,80,30,2.87,23.5,1.698,60.0
20,5220,80,0,20,5220,80,30,5.74,47.0,2.153,69.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.145,12.0
20,5220,80,0,20,5220,80,30,10.0,82.3,2.101,12.0
20,5220,80,0,20,5220,80,30,5.74,47.0,2.369,43.0
20,5220,80,0,20,5220,80,30,2.87,23.5,2.353,75.0
20,5220,80,0,20,5220,80,30,7.18,58.8,2.039,55.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.452,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.331,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.529,10.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.258,0.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.122,44.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.031,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.867,0.0
20,5220,80,0,20,5220,80,30,7.18,58.8,0.887,38.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.298,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.216,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.183,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.662,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.243,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.131,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.913,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,0.964,22.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.612,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.695,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.33,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.092,12.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.161,22.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.204,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.838,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.124,22.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.825,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.31,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.095,0.0
20,5220,80,0,20,5220,80,30,7.18,58.8,0.99,38.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.113,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.238,12.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.102,25.0
20,5220,80,0,20,5220,80,30,8.61,70.6,0.793,33.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.615,11.0
20,5220,80,0,20,5220,80,30,7.18,58.8,0.593,38.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.827,0.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.517,44.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.243,22.0
20,5220,80,0,20,5220,80,30,8.61,70.6,1.678,25.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.742,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.358,12.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.356,44.0
20,5220,80,0,20,5220,80,30,7.18,58.8,1.435,38.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.497,0.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.397,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.074,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.424,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.215,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.992,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.79,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.849,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.81,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.208,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.105,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.82,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.757,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.748,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.024,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.954,11.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.879,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,0.968,11.0
20,5220,80,0,20,5220,80,30,4.31,35.3,1.09,62.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.264,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.385,12.0
20,5220,80,0,20,5220,80,30,12.9,106.0,0.974,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.001,0.0
20,5220,80,0,20,5220,80,30,12.9,106.0,1.279,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.389,0.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.749,11.0
20,5220,80,0,20,5220,80,30,10.0,82.3,1.346,12.0
20,5220,80,0,20,5220,80,30,11.5,94.1,1.549,0.0
