P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,5,20,5220,80,15,21.5,176.0,0.731,12.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,18.7,153.0,0.944,24.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,23.0,188.0,0.696,0.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,15.8,129.0,0.776,39.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,20.1,165.0,0.642,12.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,21.5,176.0,1.153,17.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,23.0,188.0,0.735,5.9
20,5220,80,0,20,5220,80,5,20,5220,80,15,23.0,188.0,0.537,5.9
20,5220,80,0,20,5220,80,5,20,5220,80,15,21.5,176.0,1.048,12.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,24.4,200.0,0.644,0.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,23.0,188.0,1.164,5.9
20,5220,80,0,20,5220,80,5,20,5220,80,15,23.0,188.0,0.998,5.9
20,5220,80,0,20,5220,80,5,20,5220,80,15,24.4,200.0,0.703,0.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,24.4,200.0,0.725,0.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,24.4,200.0,0.833,0.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,23.0,188.0,0.565,5.9
20,5220,80,0,20,5220,80,5,20,5220,80,15,23.0,188.0,0.6,5.9
20,5220,80,0,20,5220,80,5,20,5220,80,15,24.4,200.0,0.425,0.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,23.0,188.0,0.58,0.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,24.4,200.0,0.663,5.6
20,5220,80,0,20,5220,80,5,20,5220,80,15,23.0,188.0,1.246,5.9
20,5220,80,0,20,5220,80,5,20,5220,80,15,24.4,200.0,0.953,0.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,23.0,188.0,0.687,5.9
20,5220,80,0,20,5220,80,5,20,5220,80,15,18.7,153.0,1.607,24.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,15.8,129.0,1.361,35.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,12.9,106.0,1.399,44.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,15.8,129.0,1.396,39.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,20.1,165.0,1.391,18.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,17.2,141.0,0.692,25.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,21.5,176.0,0.93,17.0
