P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
260,5220,80,0,270,5220,80,30,290,5220,80,60,791.0,6480.0,1.151,3.3
260,5220,80,0,270,5220,80,30,290,5220,80,60,696.0,5700.0,1.956,4.7
260,5220,80,0,270,5220,80,30,290,5220,80,60,764.0,6260.0,5.114,2.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,685.0,5610.0,5.46,5.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,590.0,4830.0,1.496,6.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,824.0,6750.0,3.074,0.69
260,5220,80,0,270,5220,80,30,290,5220,80,60,801.0,6560.0,3.443,4.3
260,5220,80,0,270,5220,80,30,290,5220,80,60,685.0,5610.0,4.572,7.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,795.0,6520.0,1.155,3.8
260,5220,80,0,270,5220,80,30,290,5220,80,60,676.0,5540.0,1.372,7.5
260,5220,80,0,270,5220,80,30,290,5220,80,60,825.0,6760.0,1.969,5.6
260,5220,80,0,270,5220,80,30,290,5220,80,60,550.0,4500.0,5.872,15.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,623.0,5100.0,2.624,9.6
260,5220,80,0,270,5220,80,30,290,5220,80,60,785.0,6430.0,5.824,7.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,920.0,7540.0,1.674,2.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,647.0,5300.0,1.574,6.8
260,5220,80,0,270,5220,80,30,290,5220,80,60,721.0,5900.0,6.465,4.7
260,5220,80,0,270,5220,80,30,290,5220,80,60,675.0,5530.0,2.368,4.7
260,5220,80,0,270,5220,80,30,290,5220,80,60,708.0,5800.0,2.038,3.9
260,5220,80,0,270,5220,80,30,290,5220,80,60,564.0,4620.0,1.328,6.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,495.0,4059.9999999999995,4.351,15.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,487.0,3990.0,6.313,14.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,886.0,7260.0,1.43,2.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,861.0,7060.0,1.638,5.7
260,5220,80,0,270,5220,80,30,290,5220,80,60,393.0,3220.0,6.703,17.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,1.06,8870.0,0.443,0.92
260,5220,80,0,270,5220,80,30,290,5220,80,60,818.0,6700.0,1.149,4.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,881.0,7220.0,1.333,5.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,177.0,1450.0,1.003,0.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,0.0,0.0,1.003,100.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,0.0,0.0,1.003,100.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,0.0,0.0,1.003,100.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,380.0,3120.0,2.837,74.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,1.01,8430.0,2.254,1.1
260,5220,80,0,270,5220,80,30,290,5220,80,60,1005.0,8230.0,0.746,2.6
260,5220,80,0,270,5220,80,30,290,5220,80,60,833.0,6820.0,1.419,4.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,949.0,7770.0,1.167,5.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,998.0,8170.0,1.017,2.7
260,5220,80,0,270,5220,80,30,290,5220,80,60,963.0,7890.0,1.029,1.6
260,5220,80,0,270,5220,80,30,290,5220,80,60,824.0,6750.0,2.238,3.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,1.03,8610.0,1.415,3.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,959.0,7860.0,1.27,2.5
260,5220,80,0,270,5220,80,30,290,5220,80,60,745.0,6100.0,1.479,7.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,1.05,8820.0,1.091,2.1
260,5220,80,0,270,5220,80,30,290,5220,80,60,813.0,6660.0,2.421,2.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,1.05,8800.0,1.651,2.9
260,5220,80,0,270,5220,80,30,290,5220,80,60,912.0,7470.0,1.025,2.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,1.01,8460.0,0.477,0.69
260,5220,80,0,270,5220,80,30,290,5220,80,60,726.0,5950.0,1.306,9.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,843.0,6900.0,3.913,5.5
260,5220,80,0,270,5220,80,30,290,5220,80,60,1.02,8580.0,1.031,2.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,979.0,8020.0,0.219,0.29
260,5220,80,0,270,5220,80,30,290,5220,80,60,837.0,6860.0,1.838,0.85
260,5220,80,0,270,5220,80,30,290,5220,80,60,1.08,9030.0,0.531,0.9
260,5220,80,0,270,5220,80,30,290,5220,80,60,910.0,7460.0,1.776,1.1
260,5220,80,0,270,5220,80,30,290,5220,80,60,1022.0,8370.0,0.6,0.97
260,5220,80,0,270,5220,80,30,290,5220,80,60,963.0,7890.0,0.602,1.3
260,5220,80,0,270,5220,80,30,290,5220,80,60,936.0,7670.0,1.229,1.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,968.0,7930.0,0.979,2.3
260,5220,80,0,270,5220,80,30,290,5220,80,60,947.0,7760.0,1.633,1.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,940.0,7700.0,1.407,1.8
260,5220,80,0,270,5220,80,30,290,5220,80,60,1015.0,8310.0,0.849,0.98
260,5220,80,0,270,5220,80,30,290,5220,80,60,926.0,7590.0,1.113,1.8
260,5220,80,0,270,5220,80,30,290,5220,80,60,748.0,6130.0,1.371,6.1
260,5220,80,0,270,5220,80,30,290,5220,80,60,879.0,7200.0,2.752,4.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,860.0,7040.0,2.974,4.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,734.0,6010.0,1.363,6.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,627.0,5140.0,1.447,10.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,744.0,6090.0,2.864,4.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,787.0,6440.0,2.22,5.5
260,5220,80,0,270,5220,80,30,290,5220,80,60,787.0,6440.0,2.022,5.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,600.0,4920.0,4.217,4.3
260,5220,80,0,270,5220,80,30,290,5220,80,60,828.0,6790.0,2.587,8.3
260,5220,80,0,270,5220,80,30,290,5220,80,60,811.0,6640.0,3.476,4.6
260,5220,80,0,270,5220,80,30,290,5220,80,60,959.0,7860.0,1.73,1.3
260,5220,80,0,270,5220,80,30,290,5220,80,60,824.0,6750.0,1.334,2.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,705.0,5770.0,2.652,8.1
260,5220,80,0,270,5220,80,30,290,5220,80,60,614.0,5030.0,1.317,7.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,858.0,7030.0,2.338,7.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,887.0,7270.0,1.272,3.3
260,5220,80,0,270,5220,80,30,290,5220,80,60,554.0,4540.0,3.252,10.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,695.0,5690.0,3.315,8.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,742.0,6080.0,1.637,8.3
260,5220,80,0,270,5220,80,30,290,5220,80,60,790.0,6470.0,1.859,4.8
260,5220,80,0,270,5220,80,30,290,5220,80,60,851.0,6970.0,1.418,4.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,524.0,4290.0,8.781,9.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,399.0,3270.0,2.303,4.5
260,5220,80,0,270,5220,80,30,290,5220,80,60,930.0,7620.0,1.752,6.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,866.0,7090.0,1.056,4.9
260,5220,80,0,270,5220,80,30,290,5220,80,60,820.0,6710.0,1.167,3.7
260,5220,80,0,270,5220,80,30,290,5220,80,60,742.0,6080.0,1.61,6.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,679.0,5560.0,1.411,5.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,771.0,6320.0,1.397,7.1
260,5220,80,0,270,5220,80,30,290,5220,80,60,820.0,6710.0,1.771,4.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,708.0,5800.0,6.014,5.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,896.0,7340.0,1.263,4.7
260,5220,80,0,270,5220,80,30,290,5220,80,60,741.0,6070.0,1.221,5.1
260,5220,80,0,270,5220,80,30,290,5220,80,60,821.0,6730.0,2.022,5.6
260,5220,80,0,270,5220,80,30,290,5220,80,60,781.0,6400.0,3.156,5.6
260,5220,80,0,270,5220,80,30,290,5220,80,60,764.0,6260.0,2.624,7.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,761.0,6230.0,1.404,4.3
260,5220,80,0,270,5220,80,30,290,5220,80,60,702.0,5750.0,1.538,6.5
260,5220,80,0,270,5220,80,30,290,5220,80,60,818.0,6700.0,1.304,4.8
260,5220,80,0,270,5220,80,30,290,5220,80,60,791.0,6480.0,5.661,5.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,811.0,6640.0,1.129,3.6
260,5220,80,0,270,5220,80,30,290,5220,80,60,688.0,5630.0,5.599,8.8
260,5220,80,0,270,5220,80,30,290,5220,80,60,853.0,6990.0,2.607,4.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,811.0,6640.0,2.508,6.3
260,5220,80,0,270,5220,80,30,290,5220,80,60,847.0,6940.0,1.81,3.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,729.0,5970.0,1.489,5.8
260,5220,80,0,270,5220,80,30,290,5220,80,60,893.0,7310.0,1.23,2.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,745.0,6100.0,1.2,5.6
260,5220,80,0,270,5220,80,30,290,5220,80,60,775.0,6350.0,1.423,6.1
260,5220,80,0,270,5220,80,30,290,5220,80,60,889.0,7280.0,4.259,2.5
260,5220,80,0,270,5220,80,30,290,5220,80,60,705.0,5770.0,1.952,4.5
260,5220,80,0,270,5220,80,30,290,5220,80,60,883.0,7230.0,1.206,2.7
260,5220,80,0,270,5220,80,30,290,5220,80,60,682.0,5590.0,2.205,5.9
260,5220,80,0,270,5220,80,30,290,5220,80,60,813.0,6660.0,1.573,3.4
260,5220,80,0,270,5220,80,30,290,5220,80,60,696.0,5700.0,3.39,6.2
260,5220,80,0,270,5220,80,30,290,5220,80,60,726.0,5950.0,4.329,6.6
260,5220,80,0,270,5220,80,30,290,5220,80,60,668.0,5470.0,3.375,10.0
260,5220,80,0,270,5220,80,30,290,5220,80,60,690.0,5660.0,1.961,5.5
260,5220,80,0,270,5220,80,30,290,5220,80,60,930.0,7620.0,1.405,2.0
