P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
260,5220,80,0,260,5220,80,35,260,5220,80,70,142.0,1160.0,12.864,31.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,47.4,388.0,31.817,66.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,27.3,223.0,46.203,64.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,17.2,141.0,46.15,57.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,41.6,341.0,31.078,82.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,233.0,1910.0,15.183,47.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,372.0,3050.0,12.324,30.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,138.0,1130.0,17.252,45.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,27.3,223.0,36.755,49.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,27.3,223.0,45.253,24.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,12.9,106.0,70.488,47.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,2.87,23.5,114.354,90.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,71.8,588.0,21.663,42.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,112.0,917.0,9.359,35.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,286.0,2340.0,12.657,58.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,303.0,2480.0,12.826,44.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,301.0,2470.0,8.363,42.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,303.0,2480.0,18.215,62.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,310.0,2540.0,13.503,59.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,277.0,2270.0,7.952,55.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,296.0,2420.0,14.155,61.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,97.6,800.0,6.639,30.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,0.0,0.0,6.639,100.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,0.0,0.0,6.639,100.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,0.0,0.0,6.639,100.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,0.0,0.0,6.639,100.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,0.0,0.0,6.639,100.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,0.0,0.0,6.639,100.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,0.0,0.0,6.639,100.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,89.0,729.0,15.685,98.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,278.0,2280.0,9.461,15.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,347.0,2850.0,8.98,10.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,188.0,1540.0,13.024,22.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,142.0,1160.0,14.771,55.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,221.0,1810.0,12.481,33.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,215.0,1760.0,10.653,35.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,185.0,1520.0,8.876,43.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,169.0,1390.0,8.454,49.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,214.0,1750.0,7.106,35.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,220.0,1800.0,6.538,32.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,228.0,1870.0,5.746,31.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,224.0,1830.0,6.379,33.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,215.0,1760.0,5.482,35.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,208.0,1710.0,5.2,37.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,225.0,1850.0,4.015,32.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,228.0,1870.0,3.701,31.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,212.0,1740.0,4.418,36.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,184.0,1510.0,5.062,45.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,198.0,1620.0,14.54,40.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,234.0,1920.0,13.1,29.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,215.0,1760.0,12.009,34.0
260,5220,80,0,260,5220,80,35,260,5220,80,70,237.0,1940.0,9.26,28.0
