P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
260,5220,80,0,290,5220,80,60,273.0,2230.0,8.174,6.9
260,5220,80,0,290,5220,80,60,30.1,247.0,23.454,85.0
260,5220,80,0,290,5220,80,60,43.1,353.0,21.184,87.0
260,5220,80,0,290,5220,80,60,326.0,2670.0,19.862,22.0
260,5220,80,0,290,5220,80,60,227.0,1860.0,11.092,17.0
260,5220,80,0,290,5220,80,60,53.1,435.0,27.696,78.0
260,5220,80,0,290,5220,80,60,164.0,1340.0,17.807,54.0
260,5220,80,0,290,5220,80,60,74.6,612.0,26.277,68.0
260,5220,80,0,290,5220,80,60,17.2,141.0,29.134,91.0
260,5220,80,0,290,5220,80,60,0.0,0.0,29.134,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,29.134,100.0
260,5220,80,0,290,5220,80,60,63.2,517.0,20.612,82.0
260,5220,80,0,290,5220,80,60,1.44,11.8,24.14,92.0
260,5220,80,0,290,5220,80,60,2.87,23.5,22.859,100.0
260,5220,80,0,290,5220,80,60,2.87,23.5,31.672,98.0
260,5220,80,0,290,5220,80,60,0.0,0.0,31.672,100.0
260,5220,80,0,290,5220,80,60,20.1,165.0,42.508,98.0
260,5220,80,0,290,5220,80,60,68.9,564.0,37.15,82.0
260,5220,80,0,290,5220,80,60,99.1,811.0,22.124,80.0
260,5220,80,0,290,5220,80,60,116.0,953.0,25.458,73.0
260,5220,80,0,290,5220,80,60,66.0,541.0,24.654,86.0
260,5220,80,0,290,5220,80,60,100.0,823.0,25.478,79.0
260,5220,80,0,290,5220,80,60,109.0,894.0,32.598,65.0
260,5220,80,0,290,5220,80,60,91.9,753.0,21.785,78.0
260,5220,80,0,290,5220,80,60,76.1,623.0,35.476,74.0
260,5220,80,0,290,5220,80,60,80.4,659.0,25.099,74.0
260,5220,80,0,290,5220,80,60,100.0,823.0,29.069,59.0
260,5220,80,0,290,5220,80,60,70.3,576.0,35.968,71.0
260,5220,80,0,290,5220,80,60,86.1,706.0,31.845,74.0
260,5220,80,0,290,5220,80,60,53.1,435.0,33.873,83.0
260,5220,80,0,290,5220,80,60,102.0,835.0,16.72,78.0
260,5220,80,0,290,5220,80,60,71.8,588.0,28.805,79.0
260,5220,80,0,290,5220,80,60,108.0,882.0,28.71,61.0
260,5220,80,0,290,5220,80,60,100.0,823.0,25.942,71.0
260,5220,80,0,290,5220,80,60,97.6,800.0,27.237,70.0
260,5220,80,0,290,5220,80,60,125.0,1020.0,20.795,77.0
260,5220,80,0,290,5220,80,60,112.0,917.0,21.317,66.0
260,5220,80,0,290,5220,80,60,121.0,988.0,18.247,76.0
260,5220,80,0,290,5220,80,60,131.0,1070.0,18.04,67.0
260,5220,80,0,290,5220,80,60,109.0,894.0,20.448,79.0
260,5220,80,0,290,5220,80,60,108.0,882.0,20.39,80.0
260,5220,80,0,290,5220,80,60,128.0,1050.0,27.615,66.0
260,5220,80,0,290,5220,80,60,172.0,1410.0,14.308,55.0
260,5220,80,0,290,5220,80,60,113.0,929.0,18.946,55.0
260,5220,80,0,290,5220,80,60,111.0,906.0,22.689,80.0
260,5220,80,0,290,5220,80,60,144.0,1180.0,14.784,66.0
260,5220,80,0,290,5220,80,60,152.0,1250.0,20.172,48.0
260,5220,80,0,290,5220,80,60,149.0,1220.0,16.265,52.0
260,5220,80,0,290,5220,80,60,168.0,1380.0,10.375,46.0
260,5220,80,0,290,5220,80,60,171.0,1400.0,21.587,39.0
260,5220,80,0,290,5220,80,60,136.0,1120.0,17.982,45.0
260,5220,80,0,290,5220,80,60,185.0,1520.0,16.982,33.0
260,5220,80,0,290,5220,80,60,129.0,1060.0,22.738,60.0
260,5220,80,0,290,5220,80,60,136.0,1120.0,12.931,73.0
260,5220,80,0,290,5220,80,60,201.0,1650.0,11.804,37.0
260,5220,80,0,290,5220,80,60,113.0,929.0,21.627,59.0
260,5220,80,0,290,5220,80,60,142.0,1160.0,19.042,56.0
260,5220,80,0,290,5220,80,60,93.3,764.0,24.11,66.0
260,5220,80,0,290,5220,80,60,86.1,706.0,29.71,60.0
260,5220,80,0,290,5220,80,60,168.0,1380.0,23.277,38.0
260,5220,80,0,290,5220,80,60,23.0,188.0,26.215,68.0
260,5220,80,0,290,5220,80,60,21.5,176.0,27.09,97.0
260,5220,80,0,290,5220,80,60,100.0,823.0,18.602,78.0
260,5220,80,0,290,5220,80,60,164.0,1340.0,8.813,6.6
260,5220,80,0,290,5220,80,60,241.0,1980.0,4.891,48.0
260,5220,80,0,290,5220,80,60,168.0,1380.0,20.342,42.0
260,5220,80,0,290,5220,80,60,164.0,1340.0,17.071,47.0
260,5220,80,0,290,5220,80,60,119.0,976.0,31.425,65.0
260,5220,80,0,290,5220,80,60,116.0,953.0,17.316,60.0
260,5220,80,0,290,5220,80,60,0.0,0.0,17.316,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,17.316,100.0
260,5220,80,0,290,5220,80,60,4.31,35.3,17.722,100.0
260,5220,80,0,290,5220,80,60,144.0,1180.0,20.551,54.0
260,5220,80,0,290,5220,80,60,51.7,423.0,47.493,84.0
260,5220,80,0,290,5220,80,60,84.7,694.0,16.819,74.0
260,5220,80,0,290,5220,80,60,91.9,753.0,19.167,45.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
260,5220,80,0,290,5220,80,60,0.0,0.0,19.167,100.0
