P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,1.07,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,17.2,141.0,0.724,20.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.688,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.973,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,21.5,176.0,0.788,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,1.284,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,1.57,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,20.1,165.0,1.391,18.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,21.5,176.0,1.135,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,1.019,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,2.265,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,2.529,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,21.5,176.0,2.458,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,21.5,176.0,2.512,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,1.647,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.841,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.661,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.856,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.482,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,1.796,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.946,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,1.243,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.906,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,21.5,176.0,0.86,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.531,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.623,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.786,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.752,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.361,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.76,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.628,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.452,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,1.02,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.925,5.6
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.405,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.608,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.387,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.397,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.48,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.353,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.263,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.566,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.26,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.158,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.219,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.485,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.278,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.295,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.312,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.383,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.254,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.452,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.318,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,21.5,176.0,0.386,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.206,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.275,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.211,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.196,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.285,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.258,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.147,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.27,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.339,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.178,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.23,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.131,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.412,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,21.5,176.0,0.406,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.643,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.345,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.365,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.392,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.41,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,1.157,5.6
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.615,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.263,0.0
