P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.289,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.486,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.447,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.259,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.7,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.447,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.81,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,1.443,6.2
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,1.459,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.929,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,0.838,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.753,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.641,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,1.124,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.471,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.616,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.731,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.458,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.682,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.74,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.538,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.567,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,1.121,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,20.1,165.0,1.622,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.813,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.883,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.874,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.629,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.388,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,0.427,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.271,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.721,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.748,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.654,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,21.5,176.0,0.389,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,18.7,153.0,0.598,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.706,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,17.2,141.0,0.708,29.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,23.0,188.0,0.827,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,24.4,200.0,0.925,0.0
